"guid","Label","Description","Specification","Type","ResourceType","Dimension","InformationElement","Source","Example implementation"
"d275a0c3-e017-47e0-ad46-3301db0288cc","MEASURE_DCTERMS_LICENSE_SINGLE_COMPLETENESS","Test to see whether a provided dwc:dcterms:license contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if dcterms:license is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","dcterms:license","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"35feec23-fa65-4dd7-ba17-3e9c02f1c03c","MEASURE_DCTERMS_MODIFIED_SINGLE_COMPLETENESS","Test to see whether a provided dwc:dcterms:modified contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if dcterms:modified is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","dcterms:modified","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"c287c6d9-7eb9-4af9-a9eb-96e5cd2be5eb","MEASURE_DCTERMS_TYPE_SINGLE_COMPLETENESS","Test to see whether a provided dwc:dcterms:type contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if dcterms:type is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","dcterms:type","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"9357dd62-be48-4df1-b024-06a3d2551a79","MEASURE_DECIMALLATITUDE_SINGLE_COMPLETENESS","Test to see whether a provided dwc:decimalLatitude contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if decimalLatitude is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","decimalLatitude","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"25823f44-d9dc-406d-ac5e-6a4d1f726f55","MEASURE_DECIMALLONGITUDE_SINGLE_COMPLETENESS","Test to see whether a provided dwc:decimalLongitude contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if decimalLongitude is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","decimalLongitude","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"6b1d1225-8a72-465a-9be5-7cb2b5323631","MEASURE_DISPOSITION_SINGLE_COMPLETENESS","Test to see whether a provided dwc:disposition contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if disposition is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","disposition","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"8e257987-dd37-4959-a250-061524cfcb03","MEASURE_ENDDAYOFYEAR_SINGLE_COMPLETENESS","Test to see whether a provided dwc:endDayOfYear contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if endDayOfYear is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","endDayOfYear","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"197b673e-a1e0-4a9a-923d-8bde0be5d063","MEASURE_ESTABLISHMENTMEANS_SINGLE_COMPLETENESS","Test to see whether a provided dwc:establishmentMeans contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if establishmentMeans is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","establishmentMeans","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"ac109e78-ab36-4469-b12e-6190169987c6","MEASURE_EVENTDATE_SINGLE_COMPLETENESS","Test to see whether a provided dwc:eventDate contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if eventDate is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","eventDate","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"4fb70443-0796-4543-a254-251e4415f468","MEASURE_EVENTTIME_SINGLE_COMPLETENESS","Test to see whether a provided dwc:eventTime contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if eventTime is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","eventTime","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
